id,news_url,title,tweet_ids
gossipcop-2493749932,www.dailymail.co.uk/tvshowbiz/article-5874213/Did-Miley-Cyrus-Liam-Hemsworth-secretly-married.html,Did Miley Cyrus and Liam Hemsworth secretly get married?,284329075902926848	284332744559968256	284335412590297089	284359918792880128	284385385151332353	284456388833452032	284644878267318273	284656558963564545	284705391965794304	284705391957401601	284762425553723392	284766089827721217	284769766806257664	284769769490620416	284769775442337792	284769772980301824	284769778655186944	284769777073917952	284771913753042944	284902943201837056	284918939975303169	285592266716884993	285635421872979969	285635516924301313	285731324101287937	295954533555793920	296639632710459392	296651276626825216	700137152143699968	700501642412560384	700599457767890944	700925213031141376	757598980373045248	757614017808437248	757810204448743425	757855454886293504	818454872299163649	818532208990371841	818622382524997632	818623644737871872	824328059335692290	840237926642536449	840277988067430400	840305556736872448	840312641042104320	840320383437877248	840321378150670336	840325449389600768	840346792671698945	840359115754999810	840359140119699457	840366459675062274	840396881586982912	840413370650050560	840440847527116800	840444299732910080	840462550135365633	841849268646338560	849678041055887360	925851191560556544	927426728653230080	927531012212457473	927588875576528897	927588875551363072	927589121190760449	927606510406029314	928442019529162752	928532613056352256	928653424752758784	953201937574342658	953336408650993664	953692192064884737	953999445384888321	954307670344916992	1010039778891452416	1010184150970654720	1010184410115727361	1010191444617752576	1010229013908992000	1010262428670709766	1010334767701561344	1010393809144799232	1010418444016259072	1011127764261396481	1013723578834014208	1013723601571340291	1013723813685669889	1016000562893123584	1016431705132093440	1036444296348663808	1060594707447853058	1060595446488358912	1060679502240436224	1060683397649952770	1060708573590773761	1060722227237318656	1060812126200258560
gossipcop-4580247171,hollywoodlife.com/2018/05/05/paris-jackson-cara-delevingne-matching-outfits-night-out-nyc-dating-pic/,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’,992895508267130880	992897935418503169	992899529329569792	992904299674923009	992906330590597120	992916937536516097	992923845446328320	992992387315060737	993002463761453056	993030134004248577	993060047700676609	993090513770180615	993105619602227203	993133763071651840	993134760506675200
gossipcop-941805037,variety.com/2017/biz/news/tax-march-donald-trump-protest-1202031487/,Celebrities Join Tax March in Protest of Donald Trump,853359353532829696	853359576543920128	853359758400729088	853360019814973440	853360073564868608	853360086479101952	853360092174966784	853360091411562496	853360111670054913	853360110843813888	853360113872130048	853360128501862400	853360131999793152	853360195149418496	853360323981701120	853360366302220288	853360619352883200	853360803646496769	853361601281445890	853362860830928897	853363803848880128	853364005624324098	853366133638012929	853366622190436352	853367360777986048	853367524565688320	853367882004275200	853368967108448257	853369009592512516	853369363038064640	853369449457606657	853369574552723456	853369732589924352	853370675913826304	853371449351872512	853371487360765952	853371710820823040	853371722292240384	853371734732537856	853372207912931328	853372329669283840	853372910211223552	853373896937971712	853375270555799552	853375443751325696	853375458766974976	853378059067510784	853380105376329733	853383424068988928	853383430758969344	853388476410200064	853388528474087424	853394168613191680	853396186157391872	853399274939219968	853406473489141761	853462336371392513	853467507511971845	853471387113078784	853516820069756928	853518110518722560	853546300222001154	853556177111834624	853560418400391169	853561802633822208	853561812419084288	853563392707239937	853563913161416704	853563925299777540	853565283432136706	853566716101537792	853566767293059073	853567661535612928	853582937144426496	853586468182396928	853615408066301954	853648619337109504	853705948287741956	853748960594452480	853771702798385152	853792365835952128	853805006511722497	853806813107568640	853910232447242241	853960825173712896	867415830727974917
gossipcop-2547891536,www.dailymail.co.uk/femail/article-3499192/Do-blondes-REALLY-fun-Cindy-Crawford-s-model-daughter-Kaia-Gerber-puts-theory-test-peroxide-wig-dining-Harry-Styles.html,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,988821905196158981	988824206556172288	988825130838077440	988827402749919232	988835411609845761	988851564243800066	988854637531992064	988859447832334336	988890321873395712	988968654346825728	989008902703534080	989101743375114241	989103880364613632	990221524102713345
gossipcop-5476631226,variety.com/2018/film/news/list-2018-oscar-nominations-1202668757/,Full List of 2018 Oscar Nominations – Variety,955792793632432131	955795063925301249	955798007861170178	955801005643452418	955801452781408256	955801716196347905	955803176430657536	955804615492210688	955805286517833728	955805289370013701	955805861858852871	955806284783251467	955807062029717505	955807741968347136	955811182807605248	955811991763013632	955815165974294532	955815369683492864	955815782847524865	955818359131484161	955820617814630400	955822571173195776	955824207748845569	955830124443713536	955833485943558144	955836296336986112	955836645504413696	955836645475045376	955836645437247489	955842212188839936	955845345807912964	955849698853773312	955854366870827008	955857618345619458	955864532404097024	955868902252199936	955869558618951680	955872387806920704	955900348123762689	955913024174469121	955922790187597824	955931807551193088	955941036844568576	955941360317751296	956054980686905345	956131095312965635	956439663430062080	956443719623958529	956501140564250624	956594492643135488	956769381941260290	956949166051250176	957045409771343872	957092190991323136	957226518241009664	957487299754975233	957903405166440448	958282715928940544	966663844302020609	969260265593327616	969605172199657472	969686533589610497	970032900770029568	970423438690127872	1027289193964363779	1037382776390070272
gossipcop-5189580095,www.townandcountrymag.com/society/tradition/a10241220/jfk-jr-princess-diana/,Here's What Really Happened When JFK Jr. Met Princess Diana,890253005299351552	890401381814870016	890491475363938305	890504639896072193
gossipcop-2803748870,www.huffingtonpost.com/entry/kate-mckinnon-the-spy-who-dumped-me_us_5b61e93ae4b0fd5c73d59a48,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?",816030248190046212	816030859484626947	816049169471250432	816075827959959552	816139559901728768	816247786450681856
gossipcop-9878194459,www.marieclaire.com.au/selena-gomez-had-the-perfect-response-to-news-of-justin-bieber-s-engagement,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement,1016502265060847616	1022851930010345472	1022852198047342592	1022871564960841728	1022936453586800640	1022936635472785408	1022956854920589324	1023103359849562114	1023104299830792192
gossipcop-2210288941,hollywoodlife.com/2018/08/13/angelina-jolie-heartbroken-brad-pitt-split/,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",1029056365019496449	1030284967102709760	1034590689336729600	1048388132490625025	1048785526407528449	1048786349267062784	1049113665260179456	1049521712944037889	1053214708331921409	1054038830125244416	1054350177652244480	1054885978924474368	1054886020011954176	1059281658145398784
gossipcop-9650269391,www.newidea.com.au/julia-roberts-miracle-baby-at-50,Julia Roberts miracle baby at 50,1019639196883955712	1019741150142455808	1019761991450181632	1019824186649391104	1020098218246340608	1022357133449457664	1024845386723287046	1050221212314435585	1050302483904585728
